Game,Relation,Figure,Species,Console,Year,Sales
mario party 5,BOSS_IN,chain chomp,,GC,2003,2.08
mario & luigi: dream team,BOSS_IN,chain chomp,,3DS,2013,2.08
paper mario: sticker star,BOSS_IN,chain chomp,,3DS,2012,2.3
super mario galaxy,BOSS_IN,chain chomp,,Wii,2007,11.35
mario kart 7,BOSS_IN,chain chomp,,3DS,2011,12.66
mario party 6,BOSS_IN,chain chomp,,GC,2004,1.65
mario & luigi: paper jam,BOSS_IN,chain chomp,,3DS,2015,0.76
paper mario: color splash,BOSS_IN,chain chomp,,WiiU,2016,0.42
new super mario bros. wii,BOSS_IN,chain chomp,,Wii,2009,28.32
mario party advance,BOSS_IN,chain chomp,,GBA,2005,0.98
paper mario: the origami king,BOSS_IN,chain chomp,,Switch,2020,
super mario galaxy 2,BOSS_IN,chain chomp,,Wii,2010,7.51
mario kart tour,BOSS_IN,chain chomp,,Mobile,2019,
mario party 7,BOSS_IN,chain chomp,,GC,2005,1.57
super mario 3d land,BOSS_IN,chain chomp,,3DS,2011,10.81
mario kart live: home circuit,BOSS_IN,chain chomp,,Switch,2020,
mario party 8,BOSS_IN,chain chomp,,Wii,2007,8.27
new super mario bros. 2,BOSS_IN,chain chomp,,3DS,2012,9.9
mario party 9,BOSS_IN,chain chomp,,Wii,2012,3.13
mario party: island tour,BOSS_IN,chain chomp,,3DS,2013,1.92
mario party 10,BOSS_IN,chain chomp,,WiiU,2015,1.58
super mario odyssey,BOSS_IN,chain chomp,,Switch,2017,
mario party: star rush,BOSS_IN,chain chomp,,3DS,2016,0.3
mario party: the top 100,BOSS_IN,chain chomp,,3DS,2017,
super mario party,BOSS_IN,chain chomp,,Switch,2018,
mario party superstars,BOSS_IN,chain chomp,,Switch,2021,
super mario party jamboree,BOSS_IN,chain chomp,,Switch,2024,
super mario world,BOSS_IN,boo buddies,,SNES,1990,26.07
super mario world,BOSS_IN,boo buddies,,Arcade,1993,26.07
new super mario bros. wii,BOSS_IN,boo buddies,,Wii,2009,28.32
super mario maker 2,BOSS_IN,boo buddies,,Switch,2019,
super mario bros. 2,BOSS_IN,clawgrip,sidestepper,NES,1988,7.46
bs super mario usa,BOSS_IN,clawgrip,sidestepper,SNES,1996,
super mario kart,BOSS_IN,cheep cheep,,SNES,1992,8.76
mario party,BOSS_IN,cheep cheep,,N64,1998,2.7
paper mario,BOSS_IN,cheep cheep,,N64,2000,1.38
mario kart 64,BOSS_IN,cheep cheep,,N64,1996,9.87
mario party 2,BOSS_IN,cheep cheep,,N64,1999,2.5
paper mario: the thousand-year door,BOSS_IN,cheep cheep,,GC,2004,2.25
paper mario: the thousand-year door,BOSS_IN,cheep cheep,,Switch,2024,2.25
mario kart: super circuit,BOSS_IN,cheep cheep,,GBA,2001,5.47
mario party 3,BOSS_IN,cheep cheep,,N64,2000,1.91
mario & luigi: paper jam,BOSS_IN,cheep cheep,,3DS,2015,0.76
super paper mario,BOSS_IN,cheep cheep,,Wii,2007,3.71
super mario land 2: 6 golden coins,BOSS_IN,cheep cheep,,GB,1992,11.18
mario kart: double dash!!,BOSS_IN,cheep cheep,,GC,2003,13.9
mario party 4,BOSS_IN,cheep cheep,,GC,2002,2.47
paper mario: sticker star,BOSS_IN,cheep cheep,,3DS,2012,2.3
mario party 5,BOSS_IN,cheep cheep,,GC,2003,2.08
paper mario: color splash,BOSS_IN,cheep cheep,,WiiU,2016,0.42
super mario sunshine,BOSS_IN,cheep cheep,,GC,2002,6.31
mario kart ds,BOSS_IN,cheep cheep,,DS,2005,23.21
mario party 6,BOSS_IN,cheep cheep,,GC,2004,1.65
paper mario: the origami king,BOSS_IN,cheep cheep,,Switch,2020,
new super mario bros.,BOSS_IN,cheep cheep,,DS,2006,29.8
mario kart wii,BOSS_IN,cheep cheep,,Wii,2008,35.52
mario party advance,BOSS_IN,cheep cheep,,GBA,2005,0.98
super mario galaxy,BOSS_IN,cheep cheep,,Wii,2007,11.35
mario kart 7,BOSS_IN,cheep cheep,,3DS,2011,12.66
mario party 7,BOSS_IN,cheep cheep,,GC,2005,1.57
new super mario bros. wii,BOSS_IN,cheep cheep,,Wii,2009,28.32
mario kart arcade gp dx,BOSS_IN,cheep cheep,,Arcade,2013,
mario party 8,BOSS_IN,cheep cheep,,Wii,2007,8.27
super mario galaxy 2,BOSS_IN,cheep cheep,,Wii,2010,7.51
mario party ds,BOSS_IN,cheep cheep,,DS,2007,8.91
super mario 3d land,BOSS_IN,cheep cheep,,3DS,2011,10.81
mario kart tour,BOSS_IN,cheep cheep,,Mobile,2019,
mario party 9,BOSS_IN,cheep cheep,,Wii,2012,3.13
new super mario bros. 2,BOSS_IN,cheep cheep,,3DS,2012,9.9
mario kart live: home circuit,BOSS_IN,cheep cheep,,Switch,2020,
