Character,Game,Relation,Species
Luigi,NES Remix,CHARACTER_IN,Human
Luigi,Dr. Luigi,CHARACTER_IN,Human
Luigi,NES Remix 2,CHARACTER_IN,Human
Luigi,NES Remix Pack,CHARACTER_IN,Human
Luigi,Mario Golf: World Tour,CHARACTER_IN,Human
Luigi,Mario Kart 8,CHARACTER_IN,Human
Luigi,Super Smash Bros. for Nintendo 3DS,CHARACTER_IN,Human
Luigi,Ultimate NES Remix,CHARACTER_IN,Human
Luigi,Super Smash Bros. for Wii U,CHARACTER_IN,Human
Luigi,Mario Party 10,CHARACTER_IN,Human
Luigi,Puzzle & Dragons: Super Mario Bros. Edition,CHARACTER_IN,Human
Luigi,Dr. Mario: Miracle Cure,CHARACTER_IN,Human
Luigi,Super Mario Maker,CHARACTER_IN,Human
Luigi,Mario Tennis: Ultra Smash,CHARACTER_IN,Human
Luigi,Mario & Luigi: Paper Jam,CHARACTER_IN,Human
Luigi,Minecraft: Wii U Edition,CHARACTER_IN,Human
Luigi,Mario & Sonic at the Rio 2016 Olympic Games,CHARACTER_IN,Human
Luigi,Mario & Sonic at the Rio 2016 Olympic Games Arcade Edition,CHARACTER_IN,Human
Luigi,Mario Party Challenge World,CHARACTER_IN,Human
Luigi,Paper Mario: Color Splash,CHARACTER_IN,Human
Luigi,Mario Party: Star Rush,CHARACTER_IN,Human
Luigi,Super Mario Maker for Nintendo 3DS,CHARACTER_IN,Human
Luigi,Super Mario Run,CHARACTER_IN,Human
Luigi,Mario Party Superstars,CHARACTER_IN,Human
Luigi,Mario Kart 8 Deluxe,CHARACTER_IN,Human
Luigi,Minecraft: Nintendo Switch Edition,CHARACTER_IN,Human
Luigi,Mario Kart Arcade GP VR,CHARACTER_IN,Human
Luigi,Mario + Rabbids Kingdom Battle,CHARACTER_IN,Human
Luigi,Minecraft: New Nintendo 3DS Edition,CHARACTER_IN,Human
Luigi,Mario & Luigi: Superstar Saga + Bowser's Minions,CHARACTER_IN,Human
Luigi,Mario Party: The Top 100,CHARACTER_IN,Human
Luigi,Super Mario Odyssey (later updates),CHARACTER_IN,Human
Luigi,Minecraft: Bedrock Edition,CHARACTER_IN,Human
